RatingID,PoleSpeed,MotorRotorInertia,Connection,BarMaterial,ERMaterial,WindingResistAt105,BarRes,ERRes,StatorOD,RotorOD,RotorSlotType,StatorSlotType,NemaDesign,NemaKVACode,Name,SRPM,Efficiency100,PowerFactor100,HorsePower,Voltage,Frequency,RPM,Amps,NoLoadAmps,LockedRotorAmps,LockedRotorTorque,BreakDownTorque,SFRiseByRes1,BDTCorelFactor,ReactCoilEndRun,ResTotalStart,ReactTotalRun,ReactStatorSlotRun,ReactStatorSlotStart,ReactRotorSlotRun,ReactRotorSlotStart,ReactZigZagRun,ReactZigZagStart,ReactBeltLeakRun,ReactTotalStart,FrameSize
H9113783,4,10.6367858185496,Delta,AL,AL,0.032823344362661,0.0317678563296795,0.00374916683479793,430,277.799999952316,Dbl - Closed,60,,H,TIC Premium Brand,1800,0.959,0.854,175,460,60,1786,199.88,58.92,1403.6,234.3,275.5,53,1.3781890945472737,7.18751471848501,0.212241739034653,1.08082032203674,14.2458810806274,14.2458810806274,75.1956939697266,35.5145797729492,16.7636814117432,15.1506099700928,6.88815409804838,0.694222688674927,447T
H9113783,4,10.6367858185496,Delta,AL,AL,0.0270629734499658,0.0274897590279579,0.00324427604300251,430,277.799999952316,Dbl - Closed,60,A,J,TIC Premium Brand,1800,0.964,0.819,175,460,60,1786,207.71,76.55,1645.3,272.6,301.3,62,1.3438893844781445,7.18751471848501,0.182319551706314,0.951349318027496,14.2458810806274,14.2458810806274,77.5377807617188,35.0878677368164,16.7636814117432,14.8049945831299,6.88815409804838,0.593720614910126,447T
H080196,4,24.634789376088,Delta,AL,AL,0.375396372590622,0.298875033855438,0.0762625791848047,550,348.400000095367,Dbl - Closed,60,A,H,Standard / High Efficiency,1800,0.948,0.784,300.000004090828,2300,60,1786,75.58,35.02,502.3,210,319.8,50,1.1397006414825375,11.3022961707511,2.58873748779297,11.1058359146118,22.2583332061768,22.2583332061768,58.8921890258789,36.2110443115234,6.65249872207642,6.19344902038574,4.77270695014521,8.59665489196777,5011
H01031,4,68.3540633073078,Wye,AL,AL,0.222178686303751,0.248985409736633,0.0332834445246875,610,396.200000047684,Dbl - Closed,48,,H,Standard / High Efficiency,1800,0.945,0.878,600.000008181656,4160,60,1781,74.86,19.87,565.5,198.3,266.9,75,1.1405982905982905,5.81067789996033,1.23350167274475,7.53660917282104,15.3189306259155,15.3189306259155,29.0612754821777,14.3230466842651,8.11056327819824,6.27793550491333,4.41028381080412,5.42538499832153,5810
H010238,2,34.9971023403385,Wye,AL,AL,0.475373801827234,0.349922329187393,0.118706202951252,670,368.400000095367,Dbl - Closed,48,,G,Standard / High Efficiency,3000,0.949,0.905,1000,6000,50,2966,83.59,16.2,545.5,125,238.8,65,1.105043961129107,21.9398083068052,1.94009578227997,10.0101289749146,18.5331363677979,18.5331363677979,43.7039604187012,21.5382347106934,4.33453512191772,4.09978628158569,7.29233651799227,7.628333568573,5812USS
H010244,2,37.5758361969951,Wye,AL,AL,0.371322849790063,0.270595222711563,0.0857652316322797,670,368.400000095367,Dbl - Closed,48,,G,Standard / High Efficiency,3000,0.952,0.895,1250,6000,50,2968,105.34,23.85,724.6,135.8,251.3,75,1.1051011433597187,20.4341351877108,1.49796319007874,7.55788803100586,18.5331363677979,18.5331363677979,42.6515884399414,21.0622386932373,4.33453512191772,3.99112796783447,7.29233651799227,5.73333406448364,5812USS
H110292,6,85.790000179875,Wye,Special,Special,0.321601868343249,0.239207088947296,0.0154187500052935,610,422.200000047684,Rectang,72,,H,Standard / High Efficiency,1200,0.957,0.897,600,4000,60,1191,75.22,20.81,564.3,168.7,282,68,1.1316211878009632,4.17882625221169,1.18196725845337,6.39209032058716,20.3576927185059,20.3576927185059,20.7341747283936,12.5564184188843,6.55716180801392,4.88685274124146,4.0779279890454,5.14732360839844,5811UZ
1T2600K_REV2,2,17.4644059167922,Wye,AL,AL,0.360570959370485,0.214283064007759,0.09686963627161,590,334.199999809265,Dbl - Closed,42,,F,Standard / High Efficiency,3600,0.942,0.866,600.000008181656,4000,60,3560,79.26,18.93,458.7,116.5,255.7,46,0.9861164674122637,23.3489570281573,1.30660784244537,6.08118963241577,11.7860479354858,11.7860479354858,29.9199962615967,15.0267496109009,7.0829815864563,6.40304565429688,5.86065694186802,4.82315826416016,5012
H110292,6,85.790000179875,Wye,Special,Special,0.394812925136707,0.284676194190979,0.0183495867831592,610,422.200000047684,Rectang,72,,F,Standard / High Efficiency,1200,0.951,0.905,600,4000,60,1189,75.1,16.72,468.7,138.2,236.8,77,1.1319311663479925,4.17882625221169,1.41871893405914,7.60711574554443,20.3576927185059,20.3576927185059,20.7341747283936,12.5564184188843,6.55716180801392,5.21841812133789,4.0779279890454,6.19891452789307,5811UZ
3Q6200K,6,25.7523958787077,Wye,AL,AL,1.07177631187236,0.783851802349091,0.108960112127767,520,347.599999904633,Dbl - Closed,72,,G,Standard / High Efficiency,1200,0.954,0.8,200,4000,60,1187,28.23,8.64,155.4,160.4,207.1,65,1.2498491249245625,6.08073543269831,5.04385852813721,27.9928722381592,25.3298778533936,25.3298778533936,53.7541122436523,23.1061000823975,7.46734523773193,6.90177011489868,4.1341803588959,17.7617225646973,N449
H020251,2,25.3602438811313,Delta,Special,Special,0.00765678085149264,0.00542518915608525,0.000637382342129989,610,331.5,Trapeze,48,,J,Standard / High Efficiency,3600,0.948,0.899,600,460,60,3576,658.98,209.44,5672.8,140.2,389,76,0.7541682822799536,19.5646868868153,0.0282939653843641,0.124252326786518,13.6454544067383,13.6454544067383,13.8190603256226,11.3958435058594,4.77738285064697,4.38327646255493,5.57605281690907,0.117155857384205,5810
