DesignAuditID,RatingID,PoleSpeed,EfficiencyBand,HorsePower,Voltage,Frequency,RPM,Amps,NoLoadAmps,Connection,WindingResistAt105,BarRes,ERRes,BDTCorelFactor,ReactCoilEndRun,ResTotalStart,ReactTotalRun,ReactStatorSlotRun,ReactStatorSlotStart,ReactRotorSlotRun,ReactRotorSlotStart,ReactZigZagRun,ReactZigZagStart,ReactBeltLeakRun,ReactTotalStart,FrameSize
2051,KH2002C,2,20,2,575,60,3489,2.1,0.9,Wye,8.60530240435165,3.54453158378601,2.31880993896831,1.3130956583127427,24.773309994958,14.4686441421509,25.5007820129395,10.5765571594238,10.5765571594238,40.2309722900391,15.2194442749023,23.6178817749023,17.4435195922852,0,15.8648433685303,145T
2052,KH2Y15C,2,20,1.5,575,60,3487,1.6,0.7,Wye,13.0736052088638,4.53728628158569,3.40120751665216,1.3102189781021898,29.7279719939496,21.0120983123779,33.2223281860352,10.5765571594238,10.5765571594238,42.2038764953613,15.7594318389893,23.6178817749023,19.2496700286865,0,21.4736194610596,143T
2053,KH2005C,2,20,5,575,60,3491,4.6,1.2,Wye,3.16670920158418,1.60011994838715,0.699465915516519,1.3077496274217586,31.794622453422,5.46629524230957,11.8010749816895,13.2668418884277,13.2668418884277,45.7287292480469,17.5496807098389,22.7339878082275,14.4739999771118,0,7.42209243774414,184T
2054,KH2Y75C,2,20,7.5,575,60,3499,7.2,2.3,Delta,4.35883855130503,2.38987016677856,1.75863646883208,1.3176087840585604,40.5381436281131,10.0796356201172,28.5382442474365,12.6566038131714,12.6566038131714,86.8249664306641,51.7014999389648,25.0088329315186,19.6090183258057,0,20.3383750915527,213T
2055,KH2010C,2,20,10,575,60,3510,9.4,2.9,Delta,2.56167808916771,1.71924233436584,0.977517242133289,1.2924187725631768,29.6388462380337,6.38952350616455,19.6187152862549,12.6566038131714,12.6566038131714,87.8110427856445,50.9738883972168,25.0088329315186,18.0468902587891,0,13.2054824829102,215T
2056,KH2015C,2,20,15,575,60,3539,14.4,4.4,Delta,1.28159033410657,0.718324184417725,0.621814909400912,1.0971293747542272,34.3763457966399,3.60903024673462,14.7637767791748,12.63365650177,12.63365650177,75.8846664428711,43.5390892028809,20.3750553131104,17.9280586242676,0,10.6310482025146,254T
2057,KH2025C,2,20,25,575,60,3544,23,5.9,Delta,0.778062759060128,0.341040432453156,0.361336559682865,0.9964966913195797,21.2089447333108,2.28505563735962,8.90474510192871,11.674750328064,11.674750328064,71.4030456542969,42.5499305725098,20.5705528259277,18.4918899536133,0,6.28140068054199,284TS
2058,KH2030C,2,20,30,575,60,3546,28,7.7,Delta,0.568846813571884,0.273166477680206,0.254176393699913,0.994475138121547,18.3053392043456,1.74067068099976,7.06723117828369,11.674750328064,11.674750328064,71.3020858764648,42.326057434082,20.5705528259277,18.1343936920166,0,4.92947483062744,286TS
2059,KH2040C,2,20,40,575,60,3548,38,9.7,Delta,0.403629650022009,0.212490677833557,0.183898409853995,1.1381125961927905,18.5316597617812,1.3986701965332,5.88526582717896,11.2848091125488,11.2848091125488,99.2705688476563,62.0101699829102,20.6550712585449,19.0951862335205,0,4.10842323303223,324T
2060,KH2050C,2,20,50,575,60,3546,46,12.2,Delta,0.289028489263069,0.167143180966377,0.131260950417142,1.1360899237254114,16.6309767092908,1.08963787555695,4.69988679885864,11.2848091125488,11.2848091125488,97.5754013061523,61.1992263793945,20.6550712585449,18.7436199188232,0,3.27051424980164,326TS
2061,KH2060C,2,20,60,575,60,3554,55,12.1,Delta,0.250802193128842,0.107004456222057,0.136477780526716,0.9355660720786313,21.7299619973971,0.992978811264038,3.5563383102417,13.1455774307251,13.1455774307251,81.7554092407227,42.9179458618164,13.5859413146973,13.2461462020874,0,2.35571980476379,364TS
