DesignAuditID,RatingID,PoleSpeed,EfficiencyBand,HorsePower,Voltage,Frequency,RPM,Amps,NoLoadAmps,Connection,WindingResistAt105,BarRes,ERRes,BDTCorelFactor,ReactCoilEndRun,ResTotalStart,ReactTotalRun,ReactStatorSlotRun,ReactStatorSlotStart,ReactRotorSlotRun,ReactRotorSlotStart,ReactZigZagRun,ReactZigZagStart,ReactBeltLeakRun,ReactTotalStart,FrameSize,Zbase,R1,R2,R3,X1,X2,X3,Xm,XdPrime,XdDoublePrime,ShortCircuitTimeConstant,SubTransientTimeConstant,OpenCircuitTimeConstant,L1,L2,L3,FirstCycleInrush
3638,5H2010C,2,0,10.0000000511354,575,60,3522,9.52,3.37,Delta,2.26091096880121,1.53280162811279,0.871511816092473,1.2005108556832695,20.2637853531029,5.67365169525146,17.1408977508545,12.6566038131714,12.6566038131714,90.9477767944336,50.4698905944824,25.0088329315186,17.2908058166504,0.0,11.0275783538818,215T,34.87147109075996,0.7536369896004033,0.8014378147350877,1.1375802421500834,1.2362182444451395,3.5231161310580776,2.4049050648666124,98.5093189270133,4.63768338025002,2.645050346145843,0.015701636700043008,0.00772190421259293,0.33770485363156527,0.003279170739063816,0.009345355789078115,0.00637920881233761,2.167749344297625
3639,5H2010 006,2,0,10.0000000511354,575,60,3522,9.52,3.37,Delta,2.26091096880121,1.53280162811279,0.871511816092473,1.2005108556832695,20.2637853531029,5.67365169525146,17.1408977508545,12.6566038131714,12.6566038131714,90.9477767944336,50.4698905944824,25.0088329315186,17.2908058166504,0.0,11.0275783538818,215T,34.87147109075996,0.7536369896004033,0.8014378147350877,1.1375802421500834,1.2362182444451395,3.5231161310580776,2.4049050648666124,98.5093189270133,4.63768338025002,2.645050346145843,0.015701636700043008,0.00772190421259293,0.33770485363156527,0.003279170739063816,0.009345355789078115,0.00637920881233761,2.167749344297625
3640,5H2010B,2,20,10.0000000511354,460,60,3520,11.8,3.97,Delta,1.4909173675459,1.00448906421661,0.571126791044727,1.2002609262883237,20.2637853531029,3.72738456726074,11.2185316085815,12.6566038131714,12.6566038131714,90.4562530517578,50.5318717956543,25.0088329315186,17.4545879364014,0.0,7.24289464950562,215T,22.50687490061253,0.4969724558486333,0.5252052850871123,0.7454890665716134,0.8119405614650947,2.303640771135528,1.5794458641900906,66.8970085207123,3.0388947573048175,1.7360035971125538,0.015686265075238973,0.007737078357446498,0.3495022394954097,0.0021537392308996453,0.006110596930570748,0.004189610277198389,2.169046916842956
3641,3Q2300,2,0,300.0,460,60,3580,325.82,68.0,Delta,0.0119558384244735,0.0074649471789598,0.0039973439379147,1.102941176470588,15.6172600462721,0.0964669436216354,0.54218989610672,12.4705247879028,12.4705247879028,73.2892150878906,36.9239616394043,13.7466402053833,13.5553607940674,11.4242084417517,0.384883612394333,N449,0.8151160881076296,0.0039852794748245,0.003820763705624833,0.028170368399053965,0.04592541451198303,0.11793642075582568,0.07986232264064098,3.9056047621651153,0.16040493034044376,0.09296932487557916,0.11339125515309055,0.010606317553796391,2.7933615603818867,0.00012182094555210606,0.00031283607223092104,0.00021184139025096337,2.351426323173518
3642,3G4100,4,20,99.9999979545859,460,60,1782,111.96,27.75,Delta,0.101012010731166,0.0802488178014755,0.0124579273467383,1.2209589718240237,13.4357519453498,0.451826065778732,1.83371138572693,14.9774236679077,14.9774236679077,62.4614181518555,29.7136936187744,18.7509784698486,15.2698574066162,7.53756378978228,1.14216840267181,404T,2.372107215320006,0.033670670243722,0.030902248382737932,0.11693801834918868,0.1584324266771524,0.3421881041360162,0.2169656858927488,9.570490948728933,0.48880811380786277,0.2893930868674255,0.042750723667491296,0.007350572656470625,0.850883001029047,0.0004202550641952179,0.0009076821373415203,0.0005755193565192414,2.09290436540946
3643,5H2Y75,2,0,7.49999971875556,460,60,3509,8.56,1.86,Delta,2.32235152827361,1.53280162811279,0.871511816092473,1.2003046458492002,20.2637853531029,5.73509216308594,17.7226219177246,12.6566038131714,12.6566038131714,92.7684936523438,51.7465667724609,25.0088329315186,20.570671081543,0.0,11.5266551971436,215T,31.02583222280699,0.7741171760912033,0.8014378147350877,1.13758021160411,1.2629469189744347,3.658754133896208,2.511390208221481,142.78555044474615,4.830290998715113,2.7367723186072634,0.016253095987809947,0.008030921587020708,0.48469834533263545,0.003350070750291012,0.009705146766124797,0.00666166942785055,2.193763169134643
3644,5H2040,2,0,40.0000002045414,460,60,3548,46.21,11.76,Delta,0.231134127605868,0.132063746452332,0.103712355885149,1.430737704918033,18.4087707713184,0.863714337348938,3.8412139415741,11.2848091125488,11.2848091125488,100.955574035645,61.7745590209961,20.6550712585449,19.3285789489746,0.0,2.65450167655945,324 / 326T,5.7472651769579715,0.077044709201956,0.07859203411249366,0.21086006991435668,0.20042036140140443,0.6945058314221231,0.619522706037628,22.58342889687312,0.8742053533027846,0.5231781259577319,0.03014540764668692,0.009736716250660879,0.7856602811415925,0.000531631520221627,0.001842233934616291,0.0016433350170592617,2.3745694634498355
3645,5H2040C,2,0,40.0000002045414,575,60,3548,36.97,9.41,Delta,0.36330103876822,0.206349611282349,0.162050556070545,1.430327868852459,18.4087707713184,1.35170757770538,6.00176954269409,11.2848091125488,11.2848091125488,100.952178955078,61.7753257751465,20.6550712585449,19.3292694091797,0.0,4.14771318435669,324 / 326T,8.979616034190826,0.12110034625607334,0.12280005578429799,0.32946884631238665,0.31324693244291624,1.0854462561123444,0.9680180487901192,35.279107841023894,1.3662936829333536,0.8176188165395546,0.030153374560736117,0.00973736795662384,0.7855043307225038,0.000830913295111052,0.002879235618681184,0.002567747624451983,2.3745787525434796
3646,5H2050,2,0,49.999998977293,460,60,3550,57.94,16.56,Delta,0.179199105989129,0.101111307740211,0.0794047724745671,1.4302280633938926,18.4087707713184,0.663518309593201,2.88602733612061,11.2848091125488,11.2848091125488,98.62744140625,61.1415519714355,20.6550712585449,18.6764659881592,0.0,2.00877976417542,326T,4.5837266797933705,0.059733035329709666,0.06017202673825937,0.16143973453469068,0.15298998031328173,0.5196363907267199,0.4684580068509043,16.03750747748961,0.6563178832526945,0.3956236548994042,0.0295878704944624,0.009624918418517599,0.7298937820317697,0.00040581852683984243,0.0013783783365764832,0.00124262345702164,2.3665016135384724
3647,5H2050C,2,0,49.999998977293,575,60,3553,46.78,14.91,Delta,0.265823207440137,0.149087592959404,0.117081526760969,1.4305657604702424,18.4087707713184,0.979946970939636,4.27048778533936,11.2848091125488,11.2848091125488,99.6786804199219,61.0147819519043,20.6550712585449,18.5224475860596,0.0,2.9543309211731,326T,7.096545634545422,0.088607735813379,0.08872303990679099,0.238041254499833,0.22474171762389328,0.770316299127839,0.6888993790728164,22.26535243353688,0.9692985214408546,0.5825655046055882,0.029682437969465958,0.009600377005093644,0.6887050890957255,0.0005961459213134258,0.0020433274458408444,0.0018273623578729356,2.364775376964319
